ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12014246,JD191648,3/20/2020 21:40,048XX W 63RD ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,AIRPORT EXTERIOR - NON-SECURE AREA,FALSE,FALSE,813,8,23,64,14,1145341,1862401,2020,3/27/2020 15:48,41.77842242,-87.74272469,"(41.778422415, -87.742724688)"
12836766,JF407405,9/23/2022 0:09,034XX W COLUMBUS AVE,560,ASSAULT,SIMPLE,CAR WASH,FALSE,FALSE,834,8,18,70,08A,1154874,1850727,2022,1/3/2023 15:46,41.74620213,-87.70808684,"(41.746202125, -87.708086838)"
12013670,JD190878,3/20/2020 0:33,013XX N MONTICELLO AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,FALSE,FALSE,2535,25,26,23,15,1151790,1908707,2020,3/27/2020 15:48,41.90536793,-87.71786547,"(41.90536793, -87.717865465)"
12836180,JF406950,9/22/2022 19:00,076XX N SHERIDAN RD,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,2422,24,49,1,6,1165467,1950780,2022,1/3/2023 15:46,42.02053767,-87.66642249,"(42.020537666, -87.666422486)"
12836502,JF407185,9/23/2022 2:35,012XX W 71ST PL,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,FALSE,TRUE,734,7,6,67,14,1169139,1857366,2022,1/3/2023 15:46,41.7641241,-87.65562493,"(41.764124098, -87.655624932)"
12835151,JF405592,9/21/2022 19:24,019XX S LEAVITT ST,460,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,1234,12,25,31,08B,1162010,1890493,2022,1/3/2023 15:46,41.85517977,-87.68083267,"(41.855179771, -87.680832666)"
12540350,JE444458,11/14/2021 1:10,003XX N LA SALLE DR,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1831,18,42,8,08B,1175071,1902940,2021,11/21/2021 15:48,41.88905277,-87.63252021,"(41.889052774, -87.632520209)"
12341922,JE201347,4/16/2021 15:40,0000X E CHICAGO AVE,320,ROBBERY,STRONG ARM - NO WEAPON,RESTAURANT,FALSE,FALSE,1833,18,42,8,3,1176813,1905744,2021,4/23/2021 16:51,41.89670787,-87.62603809,"(41.896707872, -87.626038087)"
12014312,JD191609,3/20/2020 20:40,004XX W 103RD ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,2232,22,34,49,18,1175106,1836607,2020,3/27/2020 15:48,41.70702761,-87.63437243,"(41.707027606, -87.634372432)"
12826519,JF395204,9/14/2022 4:10,008XX W GRACE ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,FALSE,FALSE,1923,19,46,6,26,1169912,1925540,2022,1/3/2023 15:46,41.9511824,-87.65080539,"(41.9511824, -87.650805385)"
12830385,JF399476,9/15/2022 2:19,011XX N CLARK ST,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,1824,18,2,8,6,1175324,1908199,2022,1/3/2023 15:46,41.90347807,-87.6314331,"(41.903478069, -87.631433102)"
12540615,JE444648,11/14/2021 7:34,012XX W 71ST ST,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,734,7,6,67,2,1169376,1857704,2021,11/21/2021 15:48,41.76504649,-87.6547465,"(41.765046486, -87.654746497)"
12833935,JF404230,9/20/2022 19:30,066XX S PEORIA ST,325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,723,7,6,68,3,1171450,1860810,2022,1/3/2023 15:46,41.77352458,-87.64705385,"(41.773524577, -87.64705385)"
12016987,JD194104,3/20/2020 13:00,022XX E 70TH PL,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,331,3,5,43,5,1192219,1858649,2020,3/27/2020 15:48,41.76711461,-87.57099061,"(41.767114613, -87.570990609)"
12831866,JF401770,9/19/2022 6:00,071XX N KEDZIE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2411,24,50,2,6,1153884,1947184,2022,1/3/2023 15:46,42.01090985,-87.70914396,"(42.010909853, -87.709143958)"
12831700,JF401431,9/17/2022 17:00,127XX S MORGAN ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,523,5,34,53,6,1171986,1820355,2022,1/3/2023 15:46,41.66249842,-87.64627247,"(41.662498418, -87.646272465)"
12345838,JE205622,3/3/2021 18:20,012XX N WELLS ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1821,18,2,8,6,1174488,1908479,2021,4/23/2021 16:49,41.90426513,-87.6344955,"(41.904265132, -87.634495504)"
12345634,JE205693,4/11/2021 10:00,007XX W 80TH ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,621,6,21,71,6,1172846,1851829,2021,4/23/2021 16:49,41.74884893,-87.64220095,"(41.748848928, -87.642200949)"
12345621,JE205941,2/21/2021 16:00,092XX S GREENWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,413,4,8,47,26,1185161,1843906,2021,4/23/2021 16:49,41.72682706,-87.59732294,"(41.726827059, -87.597322944)"
12014267,JD191596,3/20/2020 21:02,010XX W 78TH ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,TRUE,612,6,17,71,08B,1170796,1853099,2020,3/27/2020 15:48,41.75237892,-87.64967592,"(41.752378916, -87.649675921)"
12830880,JF400576,9/17/2022 11:30,080XX S HARVARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,623,6,17,44,14,1175352,1851644,2022,1/3/2023 15:46,41.74828566,-87.63302359,"(41.748285661, -87.63302359)"
12345881,JE205525,4/14/2021 7:35,042XX N LINCOLN AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),FALSE,FALSE,1911,19,47,5,11,1161557,1927958,2021,4/23/2021 16:49,41.95799599,-87.68145034,"(41.957995991, -87.681450338)"
12013919,JD191121,3/20/2020 10:56,074XX N HOYNE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2424,24,49,1,08B,1160972,1949123,2020,3/27/2020 15:48,42.01608574,-87.68301017,"(42.016085738, -87.683010173)"
